date,title,author,file,source_url,categories,tags,words,images,comments
2014-04-01,Dev Highlight: Leo Apotheker,Alan Morford,2014-04-01-dev-highlight-leo-apotheker.md,https://pivotce.com/2014/04/01/dev-highlight-leo-apotheker/,Interview,,512,1,6
2014-04-01,Google Adopts webOS,preemptive,2014-04-01-google-adopts-webos.md,https://pivotce.com/2014/04/01/google-adopts-webos/,News,,391,1,7
2014-04-04,"Enyo Team Open Sources Mochi UI, Feels like webOS 3.1",Alan Morford,2014-04-04-enyo-team-open-sources-mochi-ui-feels-like-webos-3-1.md,https://pivotce.com/2014/04/04/enyo-team-open-sources-mochi-ui-feels-like-webos-3-1/,News,dash weather+|enyo,330,0,2
2014-04-09,App Review: 2048,preemptive,2014-04-09-app-review-2048.md,https://pivotce.com/2014/04/09/app-review-2048/,Reviews,,388,1,1
2014-04-19,"Introduction to Enyo, Minneapolis, 2nd May.",preemptive,2014-04-19-introduction-to-enyo-minneapolis-2nd-may.md,https://pivotce.com/2014/04/19/introduction-to-enyo-minneapolis-2nd-may/,News,App|Developer|enyo,96,1,0
2014-04-20,Happy Easter from pivotCE,preemptive,2014-04-20-happy-easter-from-pivotce.md,https://pivotce.com/2014/04/20/happy-easter-from-pivotce/,pivotCE,Easter,106,2,0
2014-05-07,Tip – Fix Google Account Authentication Error,Alan Morford,2014-05-07-tip-fix-google-account-authentication-error.md,https://pivotce.com/2014/05/07/tip-fix-google-account-authentication-error/,Tips,,978,1,8
2014-05-25,PhoneDog Throwsback to the Palm Pre,maninwhitecoat,2014-05-25-phonedog-throwsback-to-the-palm-pre.md,https://pivotce.com/2014/05/25/phonedog-throwsback-to-the-palm-pre/,News,,85,0,3
2014-05-28,"More Enyo in Minneapolis, June 20th.",preemptive,2014-05-28-more-enyo-in-minneapolis-june-20th.md,https://pivotce.com/2014/05/28/more-enyo-in-minneapolis-june-20th/,News,App|Developer|enyo,89,1,0
2014-06-06,Happy webOS Day,preemptive,2014-06-06-happy-webos-day.md,https://pivotce.com/2014/06/06/happy-webos-day/,News,,262,0,1
2014-06-06,The Pre & Pixi in 2014,Matthew Van Densen,2014-06-06-the-pre-pixi-in-2014.md,https://pivotce.com/2014/06/06/the-pre-pixi-in-2014/,Reviews,,1275,0,1
2014-06-11,iOS 8 and You,Zach Saville,2014-06-11-ios-8-and-you.md,https://pivotce.com/2014/06/11/ios-8-and-you/,Editorial|News,,443,0,2
2014-06-13,"UPDATE: webOS Ports surprises with TouchPad port, name/logo change, Nexus 4",Alan Morford,2014-06-13-webos-ports-surprises-with-touchpad-port-namelogo-change.md,https://pivotce.com/2014/06/13/webos-ports-surprises-with-touchpad-port-namelogo-change/,News,,527,2,0
2014-06-15,News Crumbs – 15th June 2014.,preemptive,2014-06-15-news-crumbs-15th-june-2014.md,https://pivotce.com/2014/06/15/news-crumbs-15th-june-2014/,News,Derek Kessler,89,0,0
2014-06-27,All-clear for webOS devices with Google accounts,Sören Müller,2014-06-27-warning-for-webos-devices-with-google-accounts.md,https://pivotce.com/2014/06/27/warning-for-webos-devices-with-google-accounts/,Tips,,187,0,0
2014-06-29,News Crumbs – 29th June 2014,preemptive,2014-06-29-news-crumbs-29th-june-2014.md,https://pivotce.com/2014/06/29/news-crumbs-29th-june-2014/,News,,273,0,0
2014-07-08,Free LG G Pad with UK purchase of a webOS TV,maninwhitecoat,2014-07-08-free-lg-g-pad-with-uk-purchase-of-a-webos-tv.md,https://pivotce.com/2014/07/08/free-lg-g-pad-with-uk-purchase-of-a-webos-tv/,News,,151,0,0
2014-07-11,webOS meet up: Chicago.,preemptive,2014-07-11-webos-meet-up-chicago.md,https://pivotce.com/2014/07/11/webos-meet-up-chicago/,News,Chicago,107,0,0
2014-08-06,The Pre 2 & HP Veer in 2014,Matthew Van Densen,2014-08-06-the-pre-2-hp-veer-in-2014.md,https://pivotce.com/2014/08/06/the-pre-2-hp-veer-in-2014/,News,,1434,0,0
2014-08-09,News Crumbs – 9th August 2014.,preemptive,2014-08-09-news-crumbs-9th-august-2014.md,https://pivotce.com/2014/08/09/news-crumbs-9th-august-2014/,News,Chubby Checker|connectSDK,221,0,0
2014-08-18,Are we dreaming? Skype still works!,preemptive,2014-08-18-are-we-dreaming-skype-still-works.md,https://pivotce.com/2014/08/18/are-we-dreaming-skype-still-works/,News,,538,0,0
2014-08-18,LG tests webOS on a Nexus 5,preemptive,2014-08-18-lg-tests-webos-on-a-nexus-5.md,https://pivotce.com/2014/08/18/lg-tests-webos-on-a-nexus-5/,News,,151,0,1
2014-08-22,The Pre 3 and HP TouchPad in 2014,Matthew Van Densen,2014-08-22-the-pre-3-and-hp-touchpad-in-2014.md,https://pivotce.com/2014/08/22/the-pre-3-and-hp-touchpad-in-2014/,News,,2274,0,5
2014-08-29,Preware.org woes: feeds/site down as domain slips away,Alan Morford,2014-08-29-preware-org-woes-feedssite-down-as-domain-slips-away.md,https://pivotce.com/2014/08/29/preware-org-woes-feedssite-down-as-domain-slips-away/,News,,297,2,3
2014-08-31,"TIP: preware.net solutions for WOSQI, Preware v1.9.13",Alan Morford,2014-08-31-tip-preware-net-solutions-for-wosqi-preware-v1-9-13.md,https://pivotce.com/2014/08/31/tip-preware-net-solutions-for-wosqi-preware-v1-9-13/,Tips,,525,1,14
2014-09-01,Official Release of LuneOS and Project Updates,webosports,2014-09-01-official-release-of-luneos-and-project-updates.md,https://pivotce.com/2014/09/01/official-release-of-luneos-and-project-updates/,News,,1737,1,23
2014-09-04,News Crumbs – 4th September 2014,preemptive,2014-09-04-news-crumbs-4th-september-2014.md,https://pivotce.com/2014/09/04/news-crumbs-4th-september-2014/,News,App|Developer,237,0,0
2014-09-11,LuneOS receives praise from LWN.net,Alan Morford,2014-09-11-luneos-receives-praise-from-lwn-net.md,https://pivotce.com/2014/09/11/luneos-receives-praise-from-lwn-net/,News,,443,1,0
2014-09-16,Two weeks with LuneOS: An app sideload test,Alan Morford,2014-09-16-two-weeks-with-luneos-an-app-sideload-test.md,https://pivotce.com/2014/09/16/two-weeks-with-luneos-an-app-sideload-test/,Reviews,,1067,0,5
2014-09-19,Dev Highlight: 72ka,Alan Morford,2014-09-19-dev-highlight-72ka.md,https://pivotce.com/2014/09/19/dev-highlight-72ka/,Interview,72ka,952,5,6
2014-09-22,webOS Ports: Help Wanted,webosports,2014-09-22-webos-ports-help-wanted.md,https://pivotce.com/2014/09/22/webos-ports-help-wanted/,News,,973,0,0
2014-09-27,Chicago webOS meetup this Sunday,preemptive,2014-09-27-chicago-webos-meetup-this-sunday.md,https://pivotce.com/2014/09/27/chicago-webos-meetup-this-sunday/,News,Chicago,164,0,0
2014-10-03,LG to introduce a webOS powered Smart Watch,Zach Saville,2014-10-03-lg-to-introduce-a-webos-powered-smart-watch.md,https://pivotce.com/2014/10/03/lg-to-introduce-a-webos-powered-smart-watch/,News,,128,1,2
2014-10-03,Next LuneOS stable release available: Antoccino,webosports,2014-10-03-next-luneos-release-builds-available-antoccino.md,https://pivotce.com/2014/10/03/next-luneos-release-builds-available-antoccino/,News,,214,0,0
2014-10-10,"Chicago WebOS Meetup September 28th, 2014",preemptive,2014-10-10-chicago-webos-meetup-september-28th-2014.md,https://pivotce.com/2014/10/10/chicago-webos-meetup-september-28th-2014/,News,Chicago,544,1,0
2014-10-11,News Crumbs – 11th October 2014,preemptive,2014-10-11-news-crumbs-11th-october-2014.md,https://pivotce.com/2014/10/11/news-crumbs-11th-october-2014/,News,Android|Aquaventure|enyo|feedspider,163,0,0
2014-10-16,HP to Shut Down Catalog and Cloud Services,Alan Morford,2014-10-16-hp-to-shut-down-catalog-and-cloud-services.md,https://pivotce.com/2014/10/16/hp-to-shut-down-catalog-and-cloud-services/,News,backup,649,1,0
2014-10-21,"Guide: Coming (Back) to webOS in 2014, Part 1",Brent Hunter,2014-10-21-guide-coming-back-to-webos-in-2014-part-1.md,https://pivotce.com/2014/10/21/guide-coming-back-to-webos-in-2014-part-1/,Tutorial,,2618,7,0
2014-10-29,Closing Down Sale,preemptive,2014-10-29-closing-down-sale.md,https://pivotce.com/2014/10/29/closing-down-sale/,News|Tips,App|Closed,386,0,0
2014-10-31,Día de los Muertos: webOS,preemptive,2014-10-31-dia-de-los-muertos-webos.md,https://pivotce.com/2014/10/31/dia-de-los-muertos-webos/,News,App|Developer,456,0,0
2014-11-01,Next LuneOS Stable Release Available: Black Eye,webosports,2014-11-01-next-luneos-stable-release-available-black-eye.md,https://pivotce.com/2014/11/01/next-luneos-stable-release-available-black-eye/,News,black eye,500,1,0
2014-11-02,"Guide: Coming (Back) to webOS in 2014, Part 2",Brent Hunter,2014-11-02-guide-coming-back-to-webos-in-2014-part-2.md,https://pivotce.com/2014/11/02/guide-coming-back-to-webos-in-2014-part-2/,Tutorial,coming back,1731,5,0
2014-11-11,Use CalDAV to maintain Google Calendar sync,preemptive,2014-11-11-use-caldav-to-maintain-google-calendar-sync.md,https://pivotce.com/2014/11/11/use-caldav-to-maintain-google-calendar-sync/,News,C+DAV|CalDAV|Calendar|CardDAV,453,0,1
2014-11-13,"webOS meetup, Chicago, 23rd November",preemptive,2014-11-13-webos-meetup-chicago-23rd-november.md,https://pivotce.com/2014/11/13/webos-meetup-chicago-23rd-november/,News,Chicago,120,0,0
2014-11-16,News Crumbs 16 November 2014,preemptive,2014-11-16-news-crumbs-16-november-2014.md,https://pivotce.com/2014/11/16/news-crumbs-16-november-2014/,News,Developer,245,0,0
2014-11-23,Putting a Touchstone in My Car: A Walk Through My Process,Alan Morford,2014-11-23-putting-a-touchstone-in-my-car-a-walk-through-my-process.md,https://pivotce.com/2014/11/23/putting-a-touchstone-in-my-car-a-walk-through-my-process/,Tutorial,car,1362,17,0
2014-12-02,Guide: Saving Apps From The App Catalog Part 1: nodeleteipk patch,Brent Hunter,2014-12-02-guide-saving-apps-from-the-app-catalog-part-1-nodeleteipk-patch.md,https://pivotce.com/2014/12/02/guide-saving-apps-from-the-app-catalog-part-1-nodeleteipk-patch/,Tutorial,App|backup,1409,5,0
2014-12-03,News Crumbs – 3rd December 2014,preemptive,2014-12-03-news-crumbs-3rd-december-2014.md,https://pivotce.com/2014/12/03/news-crumbs-3rd-december-2014/,News,,238,0,0
2014-12-06,Next LuneOS Stable Release Available: Black Tie,webosports,2014-12-06-next-luneos-stable-release-available-black-tie.md,https://pivotce.com/2014/12/06/next-luneos-stable-release-available-black-tie/,News,black tie,342,0,0
2014-12-15,Accuweather broken and fixed <48 hours,Alan Morford,2014-12-15-accuweather-broken-and-fixed-48-hours.md,https://pivotce.com/2014/12/15/accuweather-broken-and-fixed-48-hours/,News,,101,1,0
2014-12-19,Remembering our Friend: OldSkoolVWLover,preemptive,2014-12-19-remembering-our-friend-oldskoolvwlover.md,https://pivotce.com/2014/12/19/remembering-our-friend-oldskoolvwlover/,News,,374,2,0
2014-12-20,Guide: Saving Apps From The App Catalog Part 2: HP Takeout,Brent Hunter,2014-12-20-guide-saving-apps-from-the-app-catalog-part-2-hp-takeout.md,https://pivotce.com/2014/12/20/guide-saving-apps-from-the-app-catalog-part-2-hp-takeout/,Tutorial,App|backup,1105,1,0
2015-01-03,Video: A feature comparison between webOS and Blackberry 10,Alan Morford,2015-01-03-video-a-feature-comparison-between-webos-and-blackberry-10.md,https://pivotce.com/2015/01/03/video-a-feature-comparison-between-webos-and-blackberry-10/,Reviews,Android|blackberry,495,0,0
2015-01-06,LG at CES 2015,preemptive,2015-01-06-lg-at-ces-2015.md,https://pivotce.com/2015/01/06/lg-at-ces-2015/,News,CES,864,0,0
2015-01-07,TCL Relaunches the Palm Brand,preemptive,2015-01-07-tcl-relaunches-the-palm-brand.md,https://pivotce.com/2015/01/07/tcl-relaunches-the-palm-brand/,Editorial|News,Alcatel,240,0,0
